userID,productID,returned,return_date
126,150,1,2026-01-19 00:00:00
254,110,0,N/A
190,192,1,2025-08-14 00:00:00
201,155,0,N/A
262,197,1,2025-10-11 00:00:00
259,39,1,2025-07-27 00:00:00
138,26,0,N/A
186,121,1,2026-01-03 00:00:00
191,93,0,N/A
139,104,1,2026-03-10 00:00:00
194,113,1,2026-03-10 00:00:00
222,28,1,2025-08-30 00:00:00
173,34,0,N/A
194,83,1,2025-04-04 00:00:00
234,127,0,N/A
256,175,1,2026-02-04 00:00:00
180,53,1,2026-01-26 00:00:00
195,170,0,N/A
124,106,1,2026-02-28 00:00:00
152,149,1,2026-01-03 00:00:00
124,68,1,2025-05-06 00:00:00
186,31,1,2025-04-10 00:00:00
205,50,0,N/A
206,133,1,2026-01-15 00:00:00
218,198,0,N/A
148,46,1,2026-02-22 00:00:00
127,179,1,2025-06-02 00:00:00
249,73,0,N/A
242,99,1,2025-05-24 00:00:00
166,192,1,2025-10-26 00:00:00
234,36,1,2025-12-02 00:00:00
255,21,1,2025-09-08 00:00:00
179,87,0,N/A
181,82,0,N/A
274,39,0,N/A
131,196,0,N/A
266,168,1,2025-06-10 00:00:00
222,183,1,2025-07-26 00:00:00
192,131,0,N/A
232,78,1,2025-06-20 00:00:00
289,175,0,N/A
186,135,0,N/A
117,35,1,2026-02-27 00:00:00
119,101,1,2026-01-17 00:00:00
177,51,1,2026-01-26 00:00:00
163,148,0,N/A
225,75,1,2025-10-28 00:00:00
272,100,0,N/A
105,41,0,N/A
257,127,0,N/A
255,140,0,N/A
268,136,0,N/A
102,197,1,2025-10-05 00:00:00
207,89,0,N/A
119,9,0,N/A
246,86,1,2025-06-25 00:00:00
117,97,1,2026-01-10 00:00:00
149,16,0,N/A
218,6,0,N/A
200,11,1,2025-10-15 00:00:00
261,153,0,N/A
269,24,0,N/A
199,90,1,2025-11-07 00:00:00
213,135,0,N/A
175,90,1,2025-12-01 00:00:00
282,10,1,2026-01-23 00:00:00
266,100,0,N/A
203,51,0,N/A
109,56,1,2025-10-15 00:00:00
296,147,0,N/A
100,95,1,2025-09-15 00:00:00
101,90,0,N/A
201,27,0,N/A
245,188,0,N/A
249,159,1,2025-04-17 00:00:00
158,171,1,2025-10-06 00:00:00
100,16,0,N/A
195,105,1,2026-01-26 00:00:00
206,41,0,N/A
189,81,1,2025-05-11 00:00:00
149,17,0,N/A
284,95,0,N/A
121,95,0,N/A
134,197,1,2025-08-06 00:00:00
250,51,1,2026-02-17 00:00:00
168,20,0,N/A
255,155,0,N/A
246,123,1,2025-06-27 00:00:00
213,99,0,N/A
200,170,0,N/A
106,127,0,N/A
214,61,0,N/A
143,130,1,2025-12-15 00:00:00
267,160,1,2026-01-31 00:00:00
282,1,1,2025-08-20 00:00:00
243,33,1,2025-11-28 00:00:00
217,156,1,2025-11-19 00:00:00
171,23,1,2025-12-23 00:00:00
152,67,1,2025-05-17 00:00:00
143,38,0,N/A
237,108,1,2026-01-02 00:00:00
255,200,0,N/A
182,164,1,2025-04-11 00:00:00
269,47,0,N/A
130,151,0,N/A
217,190,0,N/A
224,56,1,2025-05-06 00:00:00
164,186,0,N/A
203,105,1,2026-03-14 00:00:00
249,148,0,N/A
189,1,0,N/A
213,71,0,N/A
261,110,1,2025-08-09 00:00:00
196,151,1,2025-08-08 00:00:00
271,102,1,2025-06-11 00:00:00
116,41,1,2025-05-25 00:00:00
237,97,0,N/A
299,56,0,N/A
170,176,0,N/A
251,166,0,N/A
225,95,0,N/A
241,122,1,2026-03-04 00:00:00
226,90,1,2025-05-18 00:00:00
169,176,0,N/A
105,138,0,N/A
295,181,1,2025-04-23 00:00:00
250,17,0,N/A
168,108,1,2025-09-06 00:00:00
123,35,0,N/A
129,16,1,2025-10-23 00:00:00
170,181,1,2025-05-25 00:00:00
133,94,1,2025-12-08 00:00:00
223,46,0,N/A
276,15,0,N/A
212,196,1,2025-08-29 00:00:00
211,186,0,N/A
110,37,0,N/A
260,48,0,N/A
101,102,1,2025-03-28 00:00:00
217,52,0,N/A
159,123,1,2026-02-20 00:00:00
259,70,0,N/A
259,161,1,2026-01-24 00:00:00
161,140,0,N/A
241,51,0,N/A
153,41,1,2025-12-04 00:00:00
170,192,1,2025-03-19 00:00:00
272,19,0,N/A
151,186,1,2025-04-26 00:00:00
137,40,0,N/A
119,117,0,N/A
105,106,0,N/A
145,110,0,N/A
169,68,1,2026-03-17 00:00:00
122,33,0,N/A
271,24,0,N/A
173,55,1,2025-05-09 00:00:00
146,132,1,2026-03-12 00:00:00
194,1,1,2025-10-28 00:00:00
206,44,0,N/A
264,112,1,2025-05-26 00:00:00
116,194,0,N/A
154,23,0,N/A
281,84,1,2025-04-15 00:00:00
183,90,0,N/A
151,191,1,2025-08-17 00:00:00
150,200,1,2025-08-02 00:00:00
146,63,0,N/A
255,66,1,2026-01-11 00:00:00
258,32,1,2025-10-13 00:00:00
248,174,0,N/A
261,132,0,N/A
280,132,1,2025-08-03 00:00:00
272,199,0,N/A
279,195,0,N/A
300,59,0,N/A
185,76,0,N/A
260,139,1,2025-06-07 00:00:00
293,122,0,N/A
111,87,1,2025-06-10 00:00:00
300,44,0,N/A
280,166,1,2025-09-17 00:00:00
127,114,1,2026-03-02 00:00:00
298,130,0,N/A
225,150,0,N/A
215,117,0,N/A
166,135,1,2026-02-01 00:00:00
168,171,0,N/A
165,117,0,N/A
263,16,1,2025-07-13 00:00:00
124,69,0,N/A
114,35,1,2025-10-29 00:00:00
225,44,1,2025-04-16 00:00:00
203,14,0,N/A
122,48,1,2025-10-21 00:00:00
296,167,0,N/A
160,76,0,N/A
114,29,1,2026-03-02 00:00:00
214,8,0,N/A
199,9,0,N/A
236,28,1,2025-06-23 00:00:00
237,135,0,N/A
260,107,0,N/A
168,82,1,2025-08-17 00:00:00
208,200,1,2025-07-13 00:00:00
168,176,0,N/A
109,33,1,2025-12-31 00:00:00
104,32,1,2026-03-04 00:00:00
119,29,0,N/A
145,22,0,N/A
162,35,0,N/A
220,127,1,2025-12-03 00:00:00
174,149,0,N/A
146,187,0,N/A
292,2,1,2025-03-21 00:00:00
244,132,0,N/A
146,200,0,N/A
294,161,1,2025-11-28 00:00:00
242,167,0,N/A
194,155,0,N/A
291,154,1,2025-12-08 00:00:00
206,140,1,2025-10-14 00:00:00
264,21,1,2025-04-17 00:00:00
167,51,1,2025-10-28 00:00:00
282,17,0,N/A
226,191,0,N/A
119,41,1,2025-05-22 00:00:00
297,88,0,N/A
169,66,1,2025-12-21 00:00:00
197,84,0,N/A
169,43,0,N/A
153,199,0,N/A
259,190,0,N/A
252,47,0,N/A
236,176,1,2025-07-02 00:00:00
287,144,1,2025-12-16 00:00:00
145,101,1,2026-03-06 00:00:00
142,73,0,N/A
216,1,1,2025-11-09 00:00:00
264,173,0,N/A
144,90,0,N/A
184,122,0,N/A
201,124,1,2025-11-17 00:00:00
209,141,0,N/A
223,85,0,N/A
244,13,0,N/A
139,60,0,N/A
197,124,0,N/A
120,137,0,N/A
157,51,0,N/A
219,169,0,N/A
144,144,0,N/A
278,118,0,N/A
226,83,0,N/A
155,56,0,N/A
226,134,0,N/A
271,73,0,N/A
255,175,1,2025-05-29 00:00:00
234,189,1,2025-05-14 00:00:00
170,105,1,2025-08-05 00:00:00
118,195,0,N/A
279,38,0,N/A
208,119,1,2025-06-06 00:00:00
212,48,0,N/A
292,87,1,2026-02-03 00:00:00
222,167,0,N/A
281,128,0,N/A
201,173,0,N/A
296,61,1,2025-05-19 00:00:00
108,135,0,N/A
210,131,1,2025-11-10 00:00:00
122,25,1,2026-02-12 00:00:00
219,90,0,N/A
113,87,1,2026-03-14 00:00:00
151,184,0,N/A
224,27,0,N/A
228,118,0,N/A
294,88,0,N/A
164,153,1,2025-08-20 00:00:00
225,148,1,2025-04-13 00:00:00
296,50,0,N/A
158,170,1,2025-06-16 00:00:00
167,80,1,2025-07-02 00:00:00
186,26,0,N/A
264,23,1,2025-05-25 00:00:00
119,186,0,N/A
248,64,1,2025-10-18 00:00:00
254,174,0,N/A
149,124,1,2026-01-01 00:00:00
123,104,0,N/A
207,94,1,2026-02-09 00:00:00
256,63,0,N/A
204,187,1,2025-06-22 00:00:00
239,158,1,2025-03-31 00:00:00
193,33,1,2025-10-08 00:00:00
146,8,1,2026-01-27 00:00:00
250,117,0,N/A
256,40,0,N/A
284,171,1,2025-06-21 00:00:00
189,118,1,2025-11-26 00:00:00
143,190,0,N/A
153,68,1,2026-01-02 00:00:00
244,158,1,2025-07-02 00:00:00
146,115,1,2025-09-16 00:00:00
277,160,1,2026-02-20 00:00:00
195,145,1,2025-12-19 00:00:00
243,152,0,N/A
134,123,0,N/A
145,26,0,N/A
279,175,1,2026-01-27 00:00:00
199,54,1,2025-12-02 00:00:00
171,61,0,N/A
179,186,1,2025-12-08 00:00:00
276,166,0,N/A
168,175,1,2025-12-10 00:00:00
142,61,0,N/A
